Gazepoint Data File,  11:06:35  03/16/2017
Raw Gazepoint Data (60 Hz Sampling Rate):

    samp  Eye     Gazepoint  Pupil   Eyeball-Position  Focus  Mark   Last     Gaze     Report
    indx Found    X      Y    Diam     X     Y     Z   Range  Cnt  Mark Time  Time     Time
         (t/f)  (pix)  (pix)  (mm)   (mm)  (mm)  (mm)   (mm)         (sec)    (sec)    (sec)

      0     1   1373    469   2.89   -3.6   2.9   1.1   612.0    0     0.0000    19.8432    19.8633
      0     1   1235    541   2.94   -4.8  -1.0   2.2   601.4    0     0.0000    19.8515    19.8712
      1     1   1367    455   2.87   -3.7   3.0   0.4   612.0    0     0.0000    19.8598    19.8798
      1     1   1236    531   3.10   -5.0  -1.1   5.1   600.0    0     0.0000    19.8682    19.8879
      2     1   1361    454   2.88   -3.6   3.0   0.3   612.0    0     0.0000    19.8765    19.8963
      2     1   1242    515   3.05   -4.8  -1.2   7.2   599.1    0     0.0000    19.8848    19.9048
      3     1   1362    445   2.91   -3.4   2.9   0.2   612.0    0     0.0000    19.8932    19.9136
      3     1   1243    504   3.08   -4.7  -1.3   8.8   598.8    0     0.0000    19.9015    19.9210
      4     1   1365    444   2.92   -3.2   2.9  -0.1   612.0    0     0.0000    19.9098    19.9303
      4     1   1248    507   3.02   -4.7  -1.5  10.0   598.9    0     0.0000    19.9182    19.9377
      5     1   1362    451   2.91   -3.2   2.9  -0.8   612.0    0     0.0000    19.9265    19.9464
      5     1   1253    502   3.06   -4.7  -1.6  10.8   599.7    0     0.0000    19.9348    19.9545
      6     1   1363    449   2.92   -3.1   2.9  -0.8   612.0    0     0.0000    19.9432    19.9631
      6     1   1258    509   2.98   -4.7  -1.7  10.4   601.0    0     0.0000    19.9515    19.9710
      7     1   1363    458   2.92   -3.2   2.9  -1.7   612.0    0     0.0000    19.9598    19.9800
      7     1   1261    489   3.05   -4.7  -1.9  10.4   603.0    0     0.0000    19.9682    19.9876
      8     1   1361    453   2.93   -3.0   2.8  -1.9   611.8    0     0.0000    19.9765    19.9965
      8     1   1269    486   3.02   -4.5  -2.0   9.9   605.5    0     0.0000    19.9848    20.0046
      9     1   1359    463   2.91   -2.8   2.8  -2.4   611.8    0     0.0000    19.9932    20.0133
      9     1   1279    476   3.06   -4.4  -2.2   9.4   608.6    0     0.0000    20.0015    20.0214
     10     1   1364    465   2.93   -2.6   2.7  -2.9   611.4    0     0.0000    20.0099    20.0300
     10     1   1290    490   3.06   -4.3  -2.4   8.3   611.7    0     0.0000    20.0182    20.0382
     11     1   1362    453   2.94   -2.5   2.6  -2.7   610.9    0     0.0000    20.0265    20.0465
     11     1   1291    475   3.04   -4.2  -2.6   7.4   614.5    0     0.0000    20.0349    20.0548
     12     1   1362    463   2.95   -2.4   2.5  -2.5   610.1    0     0.0000    20.0432    20.0633
     12     1   1301    485   3.06   -4.1  -2.8   5.9   616.5    0     0.0000    20.0515    20.0714
     13     1   1363    472   2.94   -2.3   2.4  -2.6   609.2    0     0.0000    20.0599    20.0798
     13     1   1301    483   3.03   -4.1  -3.0   4.3   618.0    0     0.0000    20.0682    20.0881
     14     1   1365    473   2.92   -2.3   2.3  -2.6   608.7    0     0.0000    20.0765    20.0966
     14     1   1300    486   3.04   -4.0  -3.3   2.9   618.9    0     0.0000    20.0849    20.1050
     15     1   1361    470   2.93   -2.2   2.1  -2.4   608.6    0     0.0000    20.0932    20.1133
     15     1   1301    476   3.07   -3.9  -3.5   2.5   619.3    0     0.0000    20.1015    20.1214
     16     1   1362    467   2.97   -2.0   2.0  -1.9   608.2    0     0.0000    20.1099    20.1300
     16     1   1295    472   3.03   -3.7  -3.8   2.4   619.3    0     0.0000    20.1182    20.1382
     17     1   1358    470   2.93   -1.7   1.9  -1.9   607.9    0     0.0000    20.1265    20.1469
     17     1   1302    494   3.06   -3.5  -4.0   1.3   619.3    0     0.0000    20.1349    20.1549
     18     1   1367    468   2.97   -1.5   1.8  -1.8   607.8    0     0.0000    20.1432    20.1631
     18     1   1281    501   3.04   -3.2  -4.1   0.3   619.3    0     0.0000    20.1515    20.1716
     19     1   1294    546   2.98   -1.4   1.7  -2.2   607.8    0     0.0000    20.1599    20.1799
     19     1   1208    598   3.13   -3.1  -4.3   0.3   619.4    0     0.0000    20.1682    20.1884
     20     1   1251    581   2.99   -1.3   1.7  -2.0   607.8    0     0.0000    20.1765    20.1967
     20     1   1189    609   3.11   -2.9  -4.5  -0.4   619.2    0     0.0000    20.1849    20.2047
     21     1   1255    574   2.99   -1.2   1.6  -1.1   607.7    0     0.0000    20.1932    20.2135
     21     1   1187    600   3.12   -2.8  -4.7  -0.3   618.8    0     0.0000    20.2015    20.2220
     22     1   1253    588   2.98   -1.1   1.4  -1.3   607.4    0     0.0000    20.2099    20.2298
     22     1   1185    591   3.11   -2.7  -4.8   0.5   618.8    0     0.0000    20.2182    20.2385
     23     1   1257    589   3.00   -1.0   1.4  -1.4   607.3    0     0.0000    20.2265    20.2466
     23     1   1190    607   3.10   -2.6  -4.9  -0.2   618.8    0     0.0000    20.2349    20.2548
     24     0      0      0   0.00    0.0   0.0   0.0   607.3    0     0.0000    20.2432    20.2634
     24     1   1186    609   3.09   -2.6  -5.0  -0.6   618.8    0     0.0000    20.2515    20.2718
     25     1   1250    576   3.05   -0.6   0.8   1.5   607.3    0     0.0000    20.2599    20.2799
     25     1   1192    601   3.10   -2.5  -5.2  -0.8   619.2    0     0.0000    20.2682    20.2887
     26     1   1249    584   3.01   -0.6   0.8   0.8   607.2    0     0.0000    20.2765    20.2962
     26     1   1186    594   3.12   -2.4  -5.3  -0.2   619.3    0     0.0000    20.2849    20.3047
     27     0      0      0   0.00    0.0   0.0   0.0   607.2    0     0.0000    20.2932    20.3139
     27     1   1187    609   3.09   -2.4  -5.3  -0.8   619.1    0     0.0000    20.3015    20.3213
     28     1   1245    594   3.03   -0.5   0.9  -1.4   607.2    0     0.0000    20.3099    20.3299
     28     1   1186    602   3.12   -2.3  -5.4  -0.6   619.1    0     0.0000    20.3182    20.3384
     29     1   1254    595   3.03   -0.5   0.8  -1.1   607.2    0     0.0000    20.3265    20.3467
     29     1   1190    595   3.13   -2.3  -5.5   0.2   619.1    0     0.0000    20.3349    20.3548
     30     1   1254    582   3.02   -0.6   0.8  -1.2   607.2    0     0.0000    20.3432    20.3633
     30     1   1185    604   3.10   -2.3  -5.6  -0.1   618.9    0     0.0000    20.3515    20.3718
     31     1   1246    590   3.03   -0.6   0.9  -1.6   607.2    0     0.0000    20.3599    20.3800
     31     1   1193    582   3.12   -2.5  -5.8   3.4   618.9    0     0.0000    20.3682    20.3887
     32     1   1248    592   3.02   -0.6   0.8  -1.9   607.2    0     0.0000    20.3765    20.3963
     32     1   1190    590   3.13   -2.5  -5.9   2.8   619.1    0     0.0000    20.3849    20.4050
     33     1   1250    593   3.05   -0.7   0.8  -1.5   607.1    0     0.0000    20.3932    20.4133
     33     1   1188    589   3.14   -2.5  -5.9   2.6   619.2    0     0.0000    20.4015    20.4215
     34     0      0      0   0.00    0.0   0.0   0.0   606.7    0     0.0000    20.4099    20.4303
     34     1   1185    585   3.12   -2.6  -5.9   2.4   619.5    0     0.0000    20.4182    20.4386
     35     1   1248    605   3.08   -1.2   0.8  -1.9   606.3    0     0.0000    20.4265    20.4463
     35     1   1190    584   3.14   -2.7  -6.0   2.8   619.7    0     0.0000    20.4349    20.4552
     36     1   1250    585   3.05   -1.2   0.8  -1.3   606.2    0     0.0000    20.4432    20.4629
